Mon Feb 29 08:45:34 2016	Price: 700.3457
Mon Feb 29 08:45:40 2016	Price: 700.11
Mon Feb 29 08:45:47 2016	Price: 700.10
Mon Feb 29 08:45:53 2016	Price: 700.10
Mon Feb 29 08:46:05 2016	Price: 701.656
Mon Feb 29 08:46:11 2016	Price: 701.656
Mon Feb 29 08:46:18 2016	Price: 701.405
Mon Feb 29 08:46:24 2016	Price: 701.405
Mon Feb 29 08:46:30 2016	Price: 701.405
Mon Feb 29 08:46:36 2016	Price: 701.405
Mon Feb 29 10:01:42 2016	Price: 19.175
Mon Feb 29 10:01:48 2016	Price: 19.17
Mon Feb 29 10:01:54 2016	Price: 19.17
Mon Feb 29 10:02:01 2016	Price: 19.165
Mon Feb 29 10:02:07 2016	Price: 19.165
Mon Feb 29 10:02:13 2016	Price: 19.16
Mon Feb 29 10:02:19 2016	Price: 19.167
Mon Feb 29 10:02:26 2016	Price: 19.155
Mon Feb 29 10:02:32 2016	Price: 19.155
Mon Feb 29 10:02:38 2016	Price: 19.16
Mon Feb 29 10:02:44 2016	Price: 19.155
Mon Feb 29 10:02:51 2016	Price: 19.16
Mon Feb 29 10:02:57 2016	Price: 19.16
Mon Feb 29 10:03:03 2016	Price: 19.15
Mon Feb 29 10:03:09 2016	Price: 19.16
Mon Feb 29 10:03:16 2016	Price: 19.16
Mon Feb 29 10:03:22 2016	Price: 19.16
Mon Feb 29 10:03:28 2016	Price: 19.155
Mon Feb 29 10:03:34 2016	Price: 19.17
Mon Feb 29 10:03:40 2016	Price: 19.165
Mon Feb 29 10:03:47 2016	Price: 19.16
Mon Feb 29 10:03:53 2016	Price: 19.165
Mon Feb 29 10:03:59 2016	Price: 19.17
Mon Feb 29 10:04:05 2016	Price: 19.16
Mon Feb 29 10:04:12 2016	Price: 19.16
Mon Feb 29 10:04:18 2016	Price: 19.16
Mon Feb 29 10:04:24 2016	Price: 19.16
Mon Feb 29 10:04:30 2016	Price: 19.155
Mon Feb 29 10:04:37 2016	Price: 19.14
Mon Feb 29 10:04:43 2016	Price: 19.15
Mon Feb 29 10:04:49 2016	Price: 19.15
Mon Feb 29 10:04:56 2016	Price: 19.15
Mon Feb 29 10:05:02 2016	Price: 19.15
Mon Feb 29 10:05:08 2016	Price: 19.15
Mon Feb 29 10:05:14 2016	Price: 19.165
Mon Feb 29 10:05:21 2016	Price: 19.165
Mon Feb 29 10:05:27 2016	Price: 19.175
Mon Feb 29 10:05:33 2016	Price: 19.18
Mon Feb 29 10:05:39 2016	Price: 19.175
Mon Feb 29 10:05:45 2016	Price: 19.18
Mon Feb 29 10:05:52 2016	Price: 19.18
Mon Feb 29 10:05:58 2016	Price: 19.18
Mon Feb 29 10:06:04 2016	Price: 19.18
Mon Feb 29 10:06:10 2016	Price: 19.18
Mon Feb 29 10:06:16 2016	Price: 19.18
Mon Feb 29 10:06:22 2016	Price: 19.18
Mon Feb 29 10:06:29 2016	Price: 19.19
Mon Feb 29 10:06:35 2016	Price: 19.185
Mon Feb 29 10:06:41 2016	Price: 19.19
Mon Feb 29 10:06:48 2016	Price: 19.18
Mon Feb 29 10:06:54 2016	Price: 19.185
Mon Feb 29 10:07:00 2016	Price: 19.18
Mon Feb 29 10:07:06 2016	Price: 19.18
Mon Feb 29 10:07:13 2016	Price: 19.185
Mon Feb 29 10:07:19 2016	Price: 19.19
Mon Feb 29 10:07:25 2016	Price: 19.1801
Mon Feb 29 10:07:31 2016	Price: 19.1801
Mon Feb 29 10:07:37 2016	Price: 19.1799
Mon Feb 29 10:07:43 2016	Price: 19.17
Mon Feb 29 10:07:50 2016	Price: 19.17
Mon Feb 29 10:07:56 2016	Price: 19.17
Mon Feb 29 10:08:02 2016	Price: 19.1789
Mon Feb 29 10:08:08 2016	Price: 19.165
Mon Feb 29 10:08:15 2016	Price: 19.17
Mon Feb 29 10:08:21 2016	Price: 19.18
Mon Feb 29 10:08:27 2016	Price: 19.18
Mon Feb 29 10:08:33 2016	Price: 19.18
Mon Feb 29 10:08:39 2016	Price: 19.19
Mon Feb 29 10:08:46 2016	Price: 19.19
Mon Feb 29 10:08:52 2016	Price: 19.19
Mon Feb 29 10:08:58 2016	Price: 19.185
Mon Feb 29 10:09:05 2016	Price: 19.18
Mon Feb 29 10:09:11 2016	Price: 19.18
Mon Feb 29 10:09:17 2016	Price: 19.16
Mon Feb 29 10:09:23 2016	Price: 19.17
Mon Feb 29 10:09:29 2016	Price: 19.17
